"id","sensor_id","value","start_time","end_time","duration","is_original"
4995613,3802,0,"""2017-06-01T04:00:00.000Z""","""2017-06-01T10:20:32.000Z""",22831.65,0
4998293,3802,1,"""2017-06-01T10:20:32.000Z""","""2017-06-01T10:36:28.000Z""",956.049,1
4998417,3802,0,"""2017-06-01T10:36:28.000Z""","""2017-06-01T18:50:48.000Z""",29660.478,1
5002921,3802,1,"""2017-06-01T18:50:48.000Z""","""2017-06-01T18:54:47.000Z""",239.122,1
5002934,3802,0,"""2017-06-01T18:54:47.000Z""","""2017-06-01T18:59:02.000Z""",254.407,1
5002946,3802,1,"""2017-06-01T18:59:02.000Z""","""2017-06-01T19:13:07.000Z""",845.581,1
5003025,3802,0,"""2017-06-01T19:13:07.000Z""","""2017-06-02T04:00:00.000Z""",31612.713,1
5007590,3802,0,"""2017-06-02T04:00:00.000Z""","""2017-06-02T19:40:53.000Z""",56452.812,0
5014573,3802,1,"""2017-06-02T19:40:53.000Z""","""2017-06-02T19:44:52.000Z""",239.302,1
5014581,3802,0,"""2017-06-02T19:44:52.000Z""","""2017-06-03T04:00:00.000Z""",29707.886,1
5018642,3802,0,"""2017-06-03T04:00:00.000Z""","""2017-06-03T18:57:32.000Z""",53851.595,0
5025137,3802,1,"""2017-06-03T18:57:32.000Z""","""2017-06-03T19:14:34.000Z""",1022.443,1
5025240,3802,0,"""2017-06-03T19:14:34.000Z""","""2017-06-04T04:00:00.000Z""",31525.962,1
5029126,3802,0,"""2017-06-04T04:00:00.000Z""","""2017-06-05T04:00:00.000Z""",86400,0
5038114,3802,0,"""2017-06-05T04:00:00.000Z""","""2017-06-06T04:00:00.000Z""",86400,0
5047493,3802,0,"""2017-06-06T04:00:00.000Z""","""2017-06-07T04:00:00.000Z""",86400,0
5056657,3802,0,"""2017-06-07T04:00:00.000Z""","""2017-06-08T04:00:00.000Z""",86400,0
5066687,3802,0,"""2017-06-08T04:00:00.000Z""","""2017-06-09T04:00:00.000Z""",86400,0
5075126,3802,0,"""2017-06-09T04:00:00.000Z""","""2017-06-10T04:00:00.000Z""",86400,0
5085170,3802,0,"""2017-06-10T04:00:00.000Z""","""2017-06-10T04:25:43.000Z""",1542.785,0
5085351,3802,1,"""2017-06-10T04:25:43.000Z""","""2017-06-10T04:33:07.000Z""",444.058,1
5085405,3802,0,"""2017-06-10T04:33:07.000Z""","""2017-06-10T12:11:54.000Z""",27527.274,1
5087520,3802,1,"""2017-06-10T12:11:54.000Z""","""2017-06-10T12:28:33.000Z""",999.313,1
5087687,3802,0,"""2017-06-10T12:28:33.000Z""","""2017-06-11T04:00:00.000Z""",55886.57,1
5095097,3802,0,"""2017-06-11T04:00:00.000Z""","""2017-06-11T20:53:55.000Z""",60834.759,0
5103369,3802,1,"""2017-06-11T20:53:55.000Z""","""2017-06-11T20:57:55.000Z""",239.328,1
5103379,3802,0,"""2017-06-11T20:57:55.000Z""","""2017-06-12T04:00:00.000Z""",25325.913,1
5107037,3802,0,"""2017-06-12T04:00:00.000Z""","""2017-06-12T09:53:54.000Z""",21233.006,0
5109223,3802,1,"""2017-06-12T09:53:54.000Z""","""2017-06-12T10:11:31.000Z""",1058.462,1
5109322,3802,0,"""2017-06-12T10:11:31.000Z""","""2017-06-13T04:00:00.000Z""",64108.532,1
5118980,3802,0,"""2017-06-13T04:00:00.000Z""","""2017-06-13T10:55:10.000Z""",24910.333,0
5122237,3802,1,"""2017-06-13T10:55:10.000Z""","""2017-06-13T11:09:43.000Z""",873.047,1
5122434,3802,0,"""2017-06-13T11:09:43.000Z""","""2017-06-14T04:00:00.000Z""",60616.62,1
5130902,3802,0,"""2017-06-14T04:00:00.000Z""","""2017-06-15T04:00:00.000Z""",86400,0
5142839,3802,0,"""2017-06-15T04:00:00.000Z""","""2017-06-15T09:49:50.000Z""",20990.014,0
5145141,3802,1,"""2017-06-15T09:49:50.000Z""","""2017-06-15T10:11:18.000Z""",1288.32,1
5145315,3802,0,"""2017-06-15T10:11:18.000Z""","""2017-06-16T04:00:00.000Z""",64121.666,1
5154023,3802,0,"""2017-06-16T04:00:00.000Z""","""2017-06-16T10:33:04.000Z""",23584.161,0
5156481,3802,1,"""2017-06-16T10:33:04.000Z""","""2017-06-16T10:51:59.000Z""",1135.085,1
5156638,3802,0,"""2017-06-16T10:51:59.000Z""","""2017-06-17T04:00:00.000Z""",61680.754,1
5166978,3802,0,"""2017-06-17T04:00:00.000Z""","""2017-06-17T11:58:11.000Z""",28690.773,0
5169799,3802,1,"""2017-06-17T11:58:11.000Z""","""2017-06-17T12:12:32.000Z""",861.399,1
5169889,3802,0,"""2017-06-17T12:12:32.000Z""","""2017-06-18T04:00:00.000Z""",56847.828,1
5180880,3802,0,"""2017-06-18T04:00:00.000Z""","""2017-06-18T19:03:50.000Z""",54229.953,0
5187987,3802,1,"""2017-06-18T19:03:50.000Z""","""2017-06-18T19:23:18.000Z""",1167.944,1
5188086,3802,0,"""2017-06-18T19:23:18.000Z""","""2017-06-19T04:00:00.000Z""",31002.103,1
5193035,3802,0,"""2017-06-19T04:00:00.000Z""","""2017-06-19T11:43:55.000Z""",27835.339,0
5195961,3802,1,"""2017-06-19T11:43:55.000Z""","""2017-06-19T12:02:26.000Z""",1110.857,1
5196248,3802,0,"""2017-06-19T12:02:26.000Z""","""2017-06-19T12:05:40.000Z""",193.351,1
5196287,3802,1,"""2017-06-19T12:05:40.000Z""","""2017-06-19T12:09:39.000Z""",239.643,1
5196319,3802,0,"""2017-06-19T12:09:39.000Z""","""2017-06-20T04:00:00.000Z""",57020.81,1
4995614,3803,77,"""2017-06-01T04:00:00.000Z""","""2017-06-01T04:15:00.000Z""",900,1
4995794,3803,76.6999969,"""2017-06-01T04:15:00.000Z""","""2017-06-01T04:30:00.000Z""",900,1
4995903,3803,76.6999969,"""2017-06-01T04:30:00.000Z""","""2017-06-01T04:45:00.000Z""",900,1
4996002,3803,76.7000008,"""2017-06-01T04:45:00.000Z""","""2017-06-01T05:00:00.000Z""",900,1
4996124,3803,76.5999985,"""2017-06-01T05:00:00.000Z""","""2017-06-01T05:15:00.000Z""",900,1
4996239,3803,76.4000015,"""2017-06-01T05:15:00.000Z""","""2017-06-01T05:30:00.000Z""",900,1
4996354,3803,76.1999969,"""2017-06-01T05:30:00.000Z""","""2017-06-01T05:45:00.000Z""",900,1
4996453,3803,76.3499985,"""2017-06-01T05:45:00.000Z""","""2017-06-01T06:00:00.000Z""",900,1
4996553,3803,76.0999985,"""2017-06-01T06:00:00.000Z""","""2017-06-01T06:15:00.000Z""",900,1
4996652,3803,75.9000015,"""2017-06-01T06:15:00.000Z""","""2017-06-01T06:30:00.000Z""",900,1
4996777,3803,75.9000015,"""2017-06-01T06:30:00.000Z""","""2017-06-01T06:45:00.000Z""",900,1
4996865,3803,75.8500023,"""2017-06-01T06:45:00.000Z""","""2017-06-01T07:00:00.000Z""",900,1
4996975,3803,75.9000015,"""2017-06-01T07:00:00.000Z""","""2017-06-01T07:15:00.000Z""",900,1
4997081,3803,75.6500015,"""2017-06-01T07:15:00.000Z""","""2017-06-01T08:00:00.000Z""",2700,1
4997387,3803,75.3666687,"""2017-06-01T08:00:00.000Z""","""2017-06-01T08:15:00.000Z""",900,1
4997487,3803,75.3000031,"""2017-06-01T08:15:00.000Z""","""2017-06-01T08:30:00.000Z""",900,1
4997603,3803,75.3500023,"""2017-06-01T08:30:00.000Z""","""2017-06-01T08:45:00.000Z""",900,1
4997734,3803,75.25,"""2017-06-01T08:45:00.000Z""","""2017-06-01T09:00:00.000Z""",900,1
4997860,3803,75.0999985,"""2017-06-01T09:00:00.000Z""","""2017-06-01T09:15:00.000Z""",900,1
4997977,3803,75.1999969,"""2017-06-01T09:15:00.000Z""","""2017-06-01T09:30:00.000Z""",900,1
4998060,3803,75.0999985,"""2017-06-01T09:30:00.000Z""","""2017-06-01T09:45:00.000Z""",900,1
4998117,3803,75,"""2017-06-01T09:45:00.000Z""","""2017-06-01T10:00:00.000Z""",900,1
4998178,3803,74.8000031,"""2017-06-01T10:00:00.000Z""","""2017-06-01T10:15:00.000Z""",900,1
4998251,3803,74.6999969,"""2017-06-01T10:15:00.000Z""","""2017-06-01T10:30:00.000Z""",900,1
4998370,3803,75,"""2017-06-01T10:30:00.000Z""","""2017-06-01T10:45:00.000Z""",900,1
4998483,3803,75.8749981,"""2017-06-01T10:45:00.000Z""","""2017-06-01T11:00:00.000Z""",900,1
4998662,3803,75.4000015,"""2017-06-01T11:00:00.000Z""","""2017-06-01T11:15:00.000Z""",900,1
4998822,3803,75.0499992,"""2017-06-01T11:15:00.000Z""","""2017-06-01T11:30:00.000Z""",900,1
4998987,3803,75.0499992,"""2017-06-01T11:30:00.000Z""","""2017-06-01T11:45:00.000Z""",900,1
4999214,3803,75.0499992,"""2017-06-01T11:45:00.000Z""","""2017-06-01T12:00:00.000Z""",900,1
4999454,3803,74.9000015,"""2017-06-01T12:00:00.000Z""","""2017-06-01T12:15:00.000Z""",900,1
